Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Проектирование и разработка веб-платформы для медицинской организации,56386.76,349,19223.09
Создание фулстек решения для внутреннего использования,22376.48,104,11897.04
Управление облачной инфраструктурой в GCP на основе анализа требований,19423.14,83,7232.89
Разработка 2D/3D игр на Unity для логистической компании,22749.07,230,3549.14
Создание облачной платформы для IoT на основе анализа требований,34429.65,93,8539.32
Разработка аналитических моделей для Big Data для крупной корпорации,50164.41,67,8092.29
Автоматизация DevOps процессов для конечных пользователей,11276.55,119,2592.32
Создание интерфейсов взаимодействия для конечных пользователей,30531.52,47,4964.88
Проектирование и разработка SQL баз данных с фокусом на безопасность,28113.6,138,9178.13
Разработка стратегии автоматизации инфраструктуры для медицинской организации,28314.51,162,12088.79
Разработка децентрализованных приложений (DApps) для финансового сектора,26192.78,233,4363.74
Разработка прошивок и ПО для IoT-устройств для логистической компании,31398.93,179,4860.16
Внедрение Salesforce с применением облачных технологий,45915.79,107,17953.62
Разработка бэкенда для управления IoT-устройствами с использованием микросервисной архитектуры,21939.87,57,10588.44
Создание клиентской части веб-приложения с фокусом на безопасность,7115.48,152,865.33
Разработка тестовых сценариев и фреймворков с применением облачных технологий,9267.15,43,4353.0
Разработка серверной части для IoT-решений для стартапа,14269.79,368,6364.83
Тестирование на проникновение для медицинской организации,7207.77,177,3501.67
Разработка масштабируемой E-commerce платформы для образовательной платформы,14746.8,386,7747.61
Оценка зрелости IT-инфраструктуры для крупной корпорации,2818.38,109,753.3
Аудит соответствия стандартам безопасности для малого и среднего бизнеса,16175.66,61,7401.17
Разработка и аудит смарт-контрактов в сфере E-commerce,60983.48,278,29073.8
Разработка игр на Unreal Engine для финансового сектора,32550.97,100,5502.33
Миграция в Azure для крупной корпорации,28898.6,73,15106.7
Создание кроссплатформенного приложения (React Native) с использованием микросервисной архитектуры,24458.71,276,8774.73
Создание бэкенда для конечных пользователей,16389.85,296,8258.07
Разработка решений на основе обработки естественного языка (NLP) для конечных пользователей,40211.26,250,22186.63
Разработка API для интеграции систем для конечных пользователей,26472.03,70,3050.9
Оказание технической поддержки первой линии для стартапа,553.48,11,61.15
Создание интерфейсов взаимодействия для крупной корпорации,34557.93,93,14531.99
Разработка аналитических моделей для Big Data для малого и среднего бизнеса,26050.08,116,11966.7
Анализ уязвимостей веб-приложений с применением облачных технологий,29574.94,161,3732.47
Создание AAA-проектов на Unreal Engine с использованием микросервисной архитектуры,44757.11,498,19220.92
Разработка пайплайнов обработки данных на основе анализа требований,35708.0,111,9089.47
Внедрение CI/CD для финансового сектора,14974.22,58,7528.87
Построение BI-систем и аналитики для образовательной платформы,6454.81,25,2870.42
Разработка облачного SaaS продукта для образовательной платформы,98320.24,522,28180.52
Извлечение ценной информации из Big Data с расширенным функционалом,73289.23,347,26485.97
Разработка sentiment analysis моделей с фокусом на безопасность,42594.26,239,16812.75
Разработка игр на Unity в сфере E-commerce,15310.48,336,3916.13
Разработка маркетплейса с учетом масштабируемости,98930.64,430,37467.22
Разработка серверной части для IoT-решений для внутреннего использования,9181.1,217,4358.31
Проведение аудита IT-безопасности для стартапа,16198.63,115,5011.88
Разработка бэкенда для управления IoT-устройствами для крупной корпорации,41463.62,330,11443.32
Стратегический IT-консалтинг для финансового сектора,4485.28,100,1982.51
Разработка маркетплейса в сфере E-commerce,21226.28,219,8970.14
Разработка Firmware для микроконтроллеров для внутреннего использования,27059.31,208,2946.69
Разработка пользовательского опыта (UX) для образовательной платформы,2222.18,61,744.96
Создание чат-ботов и систем анализа текста для крупной корпорации,41467.34,206,19472.38
Разработка пользовательского интерфейса (UI) с учетом масштабируемости,6907.1,18,3150.74
Разработка Flutter приложения с нуля с расширенным функционалом,33855.94,351,16251.12
Создание нереляционных хранилищ данных с фокусом на безопасность,31087.0,191,8436.42
Проектирование и разработка NoSQL баз данных в сфере E-commerce,8686.78,46,4970.9
Разработка решений на основе обработки естественного языка (NLP) для малого и среднего бизнеса,65865.09,374,19197.58
Разработка масштабируемой E-commerce платформы в сфере E-commerce,80459.16,258,32066.48
Предоставление команды IT-специалистов для внутреннего использования,49212.76,211,7283.73
Стратегический IT-консалтинг для крупной корпорации,14285.9,20,2525.1
Архитектура облачных решений на AWS с расширенным функционалом,36386.34,84,15248.8
Настройка межсетевых экранов и систем обнаружения вторжений для медицинской организации,19008.41,80,3176.91
Базовая IT-поддержка пользователей с учетом масштабируемости,579.9,25,299.9
Разработка мобильного приложения на Flutter для внутреннего использования,64131.63,194,38179.61
Разработка инфраструктуры для Big Data с фокусом на безопасность,92997.91,351,27999.76
Разработка пользовательского интерфейса с применением облачных технологий,13601.15,106,2314.37
Прикладная статистика для бизнеса с применением облачных технологий,4993.85,135,2729.19
Прикладная статистика для бизнеса для малого и среднего бизнеса,18413.02,150,2052.33
Настройка и оптимизация AWS для стартапа,31522.61,123,6701.06
Приемочное тестирование с расширенным функционалом,4943.54,39,2862.78
Миграция в AWS с учетом масштабируемости,16314.18,84,3453.34
Разработка высококачественной графики на Unreal Engine с учетом масштабируемости,23905.48,86,10480.78
Базовая IT-поддержка пользователей для стартапа,791.06,19,140.76
Оказание технической поддержки второй и третьей линии на основе анализа требований,7629.17,19,1550.28
Разработка Flutter приложения с нуля для внутреннего использования,19470.21,269,2533.16
Функциональное тестирование программных продуктов для внутреннего использования,7470.39,48,3126.93
Создание кроссплатформенного приложения (React Native) для крупной корпорации,16724.73,328,4807.42
Разработка высокопроизводительного Android приложения для внутреннего использования,31416.36,291,10738.75
Разработка и аудит смарт-контрактов с применением облачных технологий,46504.21,345,5412.04
Разработка Flutter приложения с нуля для конечных пользователей,55154.85,230,8856.45
Построение хранилищ больших данных в сфере E-commerce,56568.35,567,28207.41
Создание чат-ботов и систем анализа текста для стартапа,33768.67,487,12019.07
Построение BI-систем и аналитики с применением облачных технологий,6463.93,21,677.95
Разработка высококачественной графики на Unreal Engine с применением облачных технологий,39017.95,518,18111.23
Интеграция ERP с другими системами для малого и среднего бизнеса,141296.27,474,58060.29
Реинжиниринг бизнес-процессов в сфере E-commerce,2177.84,46,765.99
Аудит соответствия стандартам безопасности с расширенным функционалом,10006.45,46,4708.08
Создание нереляционных хранилищ данных для стартапа,25599.81,167,12909.29
Разработка веб-приложения полного цикла для медицинской организации,45530.24,223,11878.81
Создание логики децентрализованных приложений на блокчейне с учетом масштабируемости,17314.69,317,7978.93
Проведение аудита IT-безопасности для логистической компании,19199.27,119,10143.96
Оптимизация реляционных СУБД с расширенным функционалом,21256.69,79,6179.55
Проведение ручного тестирования ПО с фокусом на безопасность,8198.17,56,4612.59
Проведение пенетрационного тестирования (пентеста) для крупной корпорации,29306.59,74,11665.96
Реинжиниринг бизнес-процессов для образовательной платформы,3566.96,54,1656.26
Внедрение 1C:ERP для внутреннего использования,101554.58,166,29549.02
Разработка высококачественной графики на Unreal Engine с использованием микросервисной архитектуры,25505.27,85,4363.45
Разработка децентрализованных приложений (DApps) с применением облачных технологий,82793.67,66,47998.52
Создание интерактивных приложений на Unity для финансового сектора,49335.94,351,25599.97
Базовая IT-поддержка пользователей с расширенным функционалом,3733.27,16,779.99
Масштабирование NoSQL баз данных в сфере E-commerce,34579.3,161,8703.98
Разработка высококачественной графики на Unreal Engine для малого и среднего бизнеса,56004.83,275,23604.57
Разработка децентрализованных приложений (DApps) для крупной корпорации,94161.3,291,16565.87
Настройка ETL-процессов для интеграции данных для крупной корпорации,15920.26,124,9390.99
Аутсорсинг функций IT-менеджмента для медицинской организации,12844.16,42,6540.35
Внедрение ERP-системы для малого и среднего бизнеса,145091.8,430,40726.27
Создание облачной платформы для IoT для финансового сектора,19945.42,228,6285.31
Создание нереляционных хранилищ данных на основе анализа требований,17019.21,55,8689.36
Создание бэкенда с расширенным функционалом,6576.1,55,1208.04
Тестирование на проникновение с фокусом на безопасность,30667.21,76,16166.16
Разработка стратегии автоматизации инфраструктуры для логистической компании,15435.55,39,4658.42
Разработка серверной части веб-приложения для стартапа,39683.19,90,4077.05
Построение системы управления проектами для логистической компании,9654.66,72,3663.63
Разработка пользовательского интерфейса для крупной корпорации,12565.94,243,6270.94
Создание бэкенда с расширенным функционалом,16401.57,120,8100.03
Разработка мобильного приложения на Flutter для малого и среднего бизнеса,35730.31,102,21077.08
Внедрение CI/CD с расширенным функционалом,25286.06,132,14287.28
Аудит соответствия стандартам безопасности на основе анализа требований,13740.14,33,3466.18
Frontend разработка для крупной корпорации,20842.98,81,6068.77
Создание кроссплатформенного приложения (React Native) с использованием микросервисной архитектуры,34803.22,117,10173.19
UX-исследование и проектирование с учетом масштабируемости,9384.86,33,2986.14
Проектирование и разработка SQL баз данных для крупной корпорации,25780.68,57,12012.93
Оказание технической поддержки первой линии в сфере E-commerce,2491.49,8,1246.73
Разработка пользовательского интерфейса (UI) с учетом масштабируемости,6203.0,11,2862.89
Fullstack разработка для малого и среднего бизнеса,36369.27,396,4720.84
Разработка бэкенда для управления IoT-устройствами с фокусом на безопасность,45261.03,370,11745.54
Создание AAA-проектов на Unreal Engine для образовательной платформы,20360.93,594,9285.06
Создание мультиарендной SaaS платформы для стартапа,69627.92,557,35589.15
Создание интерфейсов взаимодействия на основе анализа требований,5215.97,207,2622.1
Разработка стратегии автоматизации инфраструктуры для медицинской организации,32247.61,112,18240.29
Аудит соответствия стандартам безопасности для финансового сектора,18066.98,64,2410.43
Разработка B2B/B2C E-commerce решения с применением облачных технологий,56184.05,581,20036.2
Архитектура облачных решений на GCP для внутреннего использования,21902.07,134,12534.39
Разработка бэкенда для управления IoT-устройствами для конечных пользователей,9049.76,375,3206.07
Операционный IT-консалтинг с применением облачных технологий,5440.42,49,2830.68
Проектирование и разработка NoSQL баз данных для конечных пользователей,25398.03,53,7771.71
Внедрение Bitrix24 для медицинской организации,56224.82,139,27605.94
Оптимизация IT-процессов для крупной корпорации,9324.95,55,2854.8
Создание фулстек решения для медицинской организации,55054.36,93,13826.99
Прикладная статистика для бизнеса для медицинской организации,13668.43,59,1754.96
Разработка игр на Unity с учетом масштабируемости,64321.2,342,38402.27
Создание клиентской части веб-приложения для логистической компании,12822.66,233,1464.37
Создание дизайна интерфейсов с учетом масштабируемости,6313.13,58,892.12
Создание логики децентрализованных приложений на блокчейне с использованием микросервисной архитектуры,89492.49,124,28622.93
Подбор IT-персонала для проекта для образовательной платформы,25147.38,248,6218.77
Создание клиентской части веб-приложения с фокусом на безопасность,25434.99,244,7327.32
Оптимизация рабочих потоков с использованием микросервисной архитектуры,32374.45,115,5738.44
Разработка пользовательского опыта (UX) с фокусом на безопасность,6127.47,75,1017.35
Создание фулстек решения для образовательной платформы,9014.65,344,2690.42
Разработка облачного SaaS продукта с применением облачных технологий,58462.2,415,10979.92
Разработка высокопроизводительного iOS приложения для финансового сектора,19491.11,166,5208.44
Создание чат-ботов и систем анализа текста для малого и среднего бизнеса,55633.51,396,16218.6
Создание кроссплатформенного приложения (React Native) для конечных пользователей,33606.19,100,18127.8
Создание AAA-проектов на Unreal Engine в сфере E-commerce,34115.65,207,5785.24
Подбор IT-персонала для проекта для малого и среднего бизнеса,14171.01,55,7564.36
Внедрение алгоритмов распознавания образов на основе анализа требований,23594.26,250,5622.56
Аутсорсинг разработки с учетом масштабируемости,6537.15,263,2824.36
Проведение аналитики больших данных с применением облачных технологий,63529.94,373,10871.71
Разработка и аудит смарт-контрактов с использованием микросервисной архитектуры,72253.2,277,24602.55
Разработка Firmware для микроконтроллеров с применением облачных технологий,38545.78,44,21860.23
Разработка sentiment analysis моделей для крупной корпорации,87879.92,205,33614.42
Создание клиентской части веб-приложения с учетом масштабируемости,10499.14,36,1482.02
Внедрение автоматизированного тестирования ПО для малого и среднего бизнеса,13835.76,68,5369.85
Настройка и оптимизация Azure для логистической компании,3799.55,26,1280.26
Разработка серверной части для IoT-решений для медицинской организации,46742.87,77,21794.79
Разработка IT-стратегии для конечных пользователей,8793.89,76,4231.39
Разработка фронтенда и бэкенда для DApps для образовательной платформы,104804.06,105,42070.74
Создание облачной платформы для IoT с фокусом на безопасность,23009.98,72,12281.02
Разработка моделей классификации и регрессии на основе анализа требований,14306.67,406,5712.96
Настройка межсетевых экранов и систем обнаружения вторжений для финансового сектора,18448.69,186,2104.02
Создание AAA-проектов на Unreal Engine для малого и среднего бизнеса,37279.28,289,8130.79
Внедрение 1C:ERP для конечных пользователей,49199.84,120,17527.68
Разработка маркетплейса с фокусом на безопасность,67121.2,484,8112.58
Миграция в AWS с применением облачных технологий,9623.78,138,1731.58
Аутсорсинг разработки с применением облачных технологий,8506.0,103,2359.7
Разработка API для крупной корпорации,17178.03,211,8306.22
Разработка API для интеграции систем для медицинской организации,17472.61,184,10051.71
Проектирование и разработка SQL баз данных для конечных пользователей,14560.97,141,5282.86
Создание кроссплатформенного приложения (Flutter) в сфере E-commerce,64550.36,334,27790.97
Backend разработка с применением облачных технологий,28449.0,215,13812.07
Разработка игр на Unity с расширенным функционалом,17155.4,336,7852.41
Внедрение комплексных систем безопасности с расширенным функционалом,22597.79,75,6401.22
Миграция в AWS с использованием микросервисной архитектуры,34057.58,27,6929.37
Разработка Firmware для микроконтроллеров для финансового сектора,31558.61,103,5347.84
Разработка смарт-контрактов на Solidity для медицинской организации,78311.58,269,12072.41
Разработка API для интеграции систем для образовательной платформы,27019.79,164,8515.32
Извлечение ценной информации из Big Data для медицинской организации,77789.04,235,37355.4
Разработка децентрализованных приложений (DApps) для образовательной платформы,112782.78,394,67318.37
Разработка стратегии автоматизации инфраструктуры для образовательной платформы,19975.83,69,2321.16
Проектирование и разработка SaaS решения с использованием микросервисной архитектуры,89413.8,240,16773.3
Приемочное тестирование для медицинской организации,2775.57,58,1205.51
Базовая IT-поддержка пользователей для малого и среднего бизнеса,1581.53,5,600.37
Анализ уязвимостей веб-приложений в сфере E-commerce,28596.37,31,8374.29
Разработка прошивок и ПО для IoT-устройств для внутреннего использования,9346.78,227,2959.13
Построение системы управления проектами в сфере E-commerce,10117.3,170,3064.86
Создание чат-ботов и систем анализа текста для логистической компании,31166.56,325,14716.99
Оценка уровня защищенности систем для малого и среднего бизнеса,8654.07,134,2606.29
Создание интерактивных приложений на Unity для финансового сектора,62913.35,284,32882.89
Разработка фронтенда и бэкенда для DApps для малого и среднего бизнеса,78805.03,402,39420.8
Настройка ETL-процессов для интеграции данных для логистической компании,12049.91,49,2807.21
Создание кроссплатформенного приложения (React Native) в сфере E-commerce,51635.84,267,14219.27
Внедрение автоматизированного тестирования ПО для внутреннего использования,16457.44,113,4080.78
Подбор IT-персонала для проекта с фокусом на безопасность,38881.52,198,7979.19
Построение DWH и витрин данных для конечных пользователей,21686.77,96,8902.64
Создание кроссплатформенного приложения (React Native) для образовательной платформы,17409.05,257,7443.75
Создание бэкенда с учетом масштабируемости,12687.8,73,6920.25
Внедрение ERP-системы для логистической компании,142543.58,475,80456.38
Создание чат-ботов и систем анализа текста для внутреннего использования,85652.81,392,8753.06
Проектирование и реализация RESTful/GraphQL API для малого и среднего бизнеса,16620.06,98,5004.81
Развертывание решений по киберзащите с применением облачных технологий,14516.34,103,1871.19
Миграция в Azure для стартапа,10428.43,46,2547.26
Создание бэкенда для малого и среднего бизнеса,21045.92,240,6212.07
Развертывание решений по киберзащите для крупной корпорации,17794.32,196,4621.98
Разработка прошивок и ПО для IoT-устройств с учетом масштабируемости,22194.62,127,3976.05
Интеграция CRM с маркетинговыми инструментами для образовательной платформы,42876.62,173,12437.81
Построение DWH и витрин данных с учетом масштабируемости,9387.04,223,5413.08
Прикладная статистика для бизнеса для стартапа,9357.5,53,995.13
Проведение аналитики больших данных с использованием микросервисной архитектуры,34939.36,249,4771.43
Разработка дашбордов и отчетов для малого и среднего бизнеса,7398.76,20,4226.58
Создание конвейеров обработки Big Data для логистической компании,70177.4,550,35387.43
Построение прогнозных моделей для малого и среднего бизнеса,20862.22,284,6251.34
Создание дизайна интерфейсов с использованием микросервисной архитектуры,1848.46,46,743.33
Извлечение ценной информации из Big Data для медицинской организации,44382.56,61,20251.42
Аудит соответствия стандартам безопасности для логистической компании,4091.98,131,1499.71
Создание клиентской части веб-приложения для крупной корпорации,23654.75,52,10916.46
Разработка аналитических моделей для Big Data для образовательной платформы,31187.16,280,17176.75
Масштабирование NoSQL баз данных для медицинской организации,20628.17,110,9900.2
Базовая IT-поддержка пользователей для образовательной платформы,2532.75,12,1008.03
Автоматизация регрессионного тестирования для конечных пользователей,16394.04,112,1822.15
Создание ML-решений для предсказаний для образовательной платформы,79546.21,214,15341.21
Проектирование и реализация RESTful/GraphQL API для образовательной платформы,19045.9,77,10472.46
Разработка децентрализованных приложений (DApps) в сфере E-commerce,99427.78,442,59472.58
Разработка высокопроизводительного Android приложения для образовательной платформы,30427.23,333,9434.05
Проектирование и разработка SQL баз данных для образовательной платформы,17446.14,151,4231.64
Разработка прошивок и ПО для IoT-устройств для стартапа,34941.13,335,11299.45
Внедрение AmoCRM в сфере E-commerce,27802.02,75,11244.47
Внедрение корпоративной аналитики для образовательной платформы,11117.24,103,2583.31
Разработка B2B/B2C E-commerce решения на основе анализа требований,78417.37,207,25193.03
Создание кроссплатформенного приложения (React Native) для крупной корпорации,44309.04,150,20196.95
Внедрение AmoCRM для образовательной платформы,35384.99,253,6425.5
Миграция в GCP для логистической компании,33919.44,124,11122.01
Создание Android приложения под ключ на основе анализа требований,22656.95,203,11495.39
Создание кроссплатформенного приложения (React Native) для крупной корпорации,30323.66,99,11326.09
Разработка и аудит смарт-контрактов в сфере E-commerce,44635.03,177,10750.44
Оптимизация IT-процессов с учетом масштабируемости,7174.04,35,1851.02
Frontend разработка для стартапа,21576.12,226,10603.5
Разработка Flutter приложения с нуля для малого и среднего бизнеса,20777.99,126,3263.88
Анализ и интерпретация данных для принятия решений для логистической компании,4067.37,122,1010.09
Автоматизация регрессионного тестирования с фокусом на безопасность,7026.19,81,3448.46
Разработка инфраструктуры для Big Data с учетом масштабируемости,20532.2,381,12079.97
Настройка и оптимизация Azure с фокусом на безопасность,21268.85,141,7904.99
Разработка бэкенда для управления IoT-устройствами для логистической компании,47842.73,73,14336.94
Настройка ETL-процессов для интеграции данных с расширенным функционалом,7268.02,151,2098.38
Создание нереляционных хранилищ данных для крупной корпорации,21437.5,53,6901.22
Аутсорсинг разработки в сфере E-commerce,36516.55,102,10050.93
Извлечение ценной информации из Big Data для стартапа,40342.89,289,11097.73
Разработка 2D/3D игр на Unity с использованием микросервисной архитектуры,10093.58,142,4180.92
Внедрение алгоритмов распознавания образов для финансового сектора,46242.39,253,5105.28
Внедрение ERP-системы для крупной корпорации,60389.19,594,29727.06
Анализ уязвимостей веб-приложений с использованием микросервисной архитектуры,31220.09,26,13673.9
Архитектура облачных решений на AWS с учетом масштабируемости,3964.46,123,594.14
Внедрение автоматизированного тестирования ПО для внутреннего использования,18707.2,28,6560.13
Построение хранилищ больших данных с фокусом на безопасность,80513.87,543,20193.02
Базовая IT-поддержка пользователей для конечных пользователей,2780.97,6,970.4
Архитектура облачных решений на AWS с учетом масштабируемости,15858.63,184,2139.89
Создание решений для анализа изображений и видео на основе анализа требований,85666.41,308,15746.39
Разработка нативного iOS приложения с использованием микросервисной архитектуры,34976.46,272,14339.25
Разработка стратегии автоматизации инфраструктуры с использованием микросервисной архитектуры,26399.94,114,12246.66
Создание нереляционных хранилищ данных с применением облачных технологий,5212.69,88,1080.53
Масштабирование NoSQL баз данных с расширенным функционалом,34521.81,191,18539.41
Автоматизация бизнес-процессов для логистической компании,9727.97,251,3506.04
Разработка API для интеграции систем для финансового сектора,32888.62,80,4297.43
Анализ и интерпретация данных для принятия решений для конечных пользователей,13783.49,133,2257.34
Создание AAA-проектов на Unreal Engine для крупной корпорации,8772.45,471,2976.95
Масштабирование NoSQL баз данных с расширенным функционалом,27114.66,126,4459.16
Разработка фронтенда и бэкенда для DApps для финансового сектора,41984.24,399,5334.7
Проведение ручного тестирования ПО с применением облачных технологий,2441.84,45,611.63
Построение системы управления проектами на основе анализа требований,24932.86,80,4736.75
Оптимизация IT-процессов с расширенным функционалом,5726.88,13,1408.71
Извлечение ценной информации из Big Data для медицинской организации,40706.42,184,24311.01
Анализ уязвимостей веб-приложений на основе анализа требований,26196.05,117,11111.42
Проектирование UI с расширенным функционалом,6325.36,43,2848.69
Разработка веб-приложения полного цикла для крупной корпорации,64585.41,265,33070.13
Управление облачной инфраструктурой в AWS для логистической компании,28783.06,75,16921.15
Разработка игр на Unity для стартапа,34365.96,122,18987.99
Автоматизация бизнес-процессов для малого и среднего бизнеса,43348.87,205,25493.67
Построение DWH и витрин данных для финансового сектора,36927.84,155,17536.91
Настройка межсетевых экранов и систем обнаружения вторжений для стартапа,11801.15,161,3420.83
Миграция данных в SQL базы для малого и среднего бизнеса,21734.01,160,7406.06
Построение хранилищ больших данных для конечных пользователей,42530.4,116,14051.4
Внедрение Bitrix24 с расширенным функционалом,59501.9,58,13220.49
Консультации по цифровой трансформации с применением облачных технологий,9867.27,49,4574.59
Разработка мобильного приложения на Flutter для конечных пользователей,57261.37,235,28139.42
Реинжиниринг бизнес-процессов в сфере E-commerce,1737.09,14,903.29
Разработка децентрализованных приложений (DApps) с фокусом на безопасность,62712.42,308,32308.41
Проектирование взаимодействия пользователя для конечных пользователей,2578.39,58,1285.56
Разработка фронтенда и бэкенда для DApps с использованием микросервисной архитектуры,80916.69,183,27507.54
Разработка пользовательского опыта (UX) для медицинской организации,6488.39,81,1227.18
Разработка 2D/3D игр на Unity для стартапа,48551.06,410,5038.88
Разработка API для интеграции систем для финансового сектора,25375.08,167,5606.68
Управление IT-проектами по методологиям Agile/Waterfall для логистической компании,24579.19,122,4999.95
Проектирование UI для малого и среднего бизнеса,1564.4,34,248.07
Проектирование и разработка SQL баз данных для конечных пользователей,5711.8,67,788.73
Внедрение BPM-систем с фокусом на безопасность,32289.98,105,16581.76
Проведение статистического анализа данных с фокусом на безопасность,13683.05,62,5015.96
Проектирование и разработка веб-платформы с фокусом на безопасность,10790.98,248,5984.76
Внедрение комплексных систем безопасности для логистической компании,14579.87,169,1838.6
Разработка децентрализованных приложений (DApps) с использованием микросервисной архитектуры,62966.71,354,37144.27
Создание логики децентрализованных приложений на блокчейне с применением облачных технологий,32613.59,179,3586.06
Создание бэкенда для образовательной платформы,20810.92,124,7085.3
Разработка смарт-контрактов на Solidity в сфере E-commerce,34308.75,212,9198.73
Внедрение CRM-системы с фокусом на безопасность,19950.07,245,9124.29
Управление облачной инфраструктурой в GCP для логистической компании,12641.29,127,3767.42
Проектирование и разработка NoSQL баз данных для образовательной платформы,11563.99,200,3047.14
Разработка высококачественной графики на Unreal Engine для малого и среднего бизнеса,21145.18,434,11838.95
Построение BI-систем и аналитики с учетом масштабируемости,12285.9,55,3058.71
Проведение ручного тестирования ПО для образовательной платформы,8972.81,16,3096.45
Базовая IT-поддержка пользователей для медицинской организации,3702.78,14,1122.68
Анализ и интерпретация данных для принятия решений с использованием микросервисной архитектуры,16029.55,128,1945.26
Разработка высокопроизводительного iOS приложения с применением облачных технологий,32600.26,287,3564.78
Построение прогнозных моделей для внутреннего использования,22916.36,484,9778.53
Оптимизация реляционных СУБД для финансового сектора,11871.87,130,3115.43
Разработка нативного Android приложения для стартапа,20471.69,63,7332.44
Построение хранилищ больших данных для медицинской организации,105223.73,240,32925.11
Создание кроссплатформенного приложения (Flutter) с фокусом на безопасность,54734.33,138,21482.39
Проектирование и разработка NoSQL баз данных для крупной корпорации,14178.82,56,5946.6
Разработка инфраструктуры для Big Data для образовательной платформы,105829.01,465,50569.75
Разработка пайплайнов обработки данных с расширенным функционалом,9317.82,142,3953.62
