Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Разработка пользовательского опыта (UX) для конечных пользователей,2299.82,45,919.75
Создание интерактивных приложений на Unity для малого и среднего бизнеса,22692.68,279,2592.68
Разработка смарт-контрактов на Solidity для логистической компании,35705.03,218,16313.78
Внедрение Salesforce для малого и среднего бизнеса,26823.38,162,13752.48
Интеграция CRM с маркетинговыми инструментами с учетом масштабируемости,44397.31,96,20921.1
Настройка межсетевых экранов и систем обнаружения вторжений для стартапа,19144.15,67,3633.98
Разработка мобильного приложения на Flutter для образовательной платформы,21332.05,358,3734.97
Проектирование и разработка веб-платформы с фокусом на безопасность,51996.74,308,14101.35
Построение DWH и витрин данных с расширенным функционалом,7485.47,142,3821.13
Создание решений для анализа изображений и видео на основе анализа требований,16932.78,313,5948.9
Настройка межсетевых экранов и систем обнаружения вторжений для медицинской организации,12214.22,135,1276.39
Разработка пользовательского интерфейса для логистической компании,3103.64,159,1460.14
Автоматизация регрессионного тестирования для финансового сектора,3755.38,114,1204.99
Создание ML-решений для предсказаний для конечных пользователей,78580.7,188,13853.72
Создание нереляционных хранилищ данных для финансового сектора,6769.79,139,2699.26
Разработка нативного Android приложения для стартапа,6316.92,229,2030.63
Разработка бэкенда для управления IoT-устройствами в сфере E-commerce,30251.66,334,11979.84
Разработка децентрализованных приложений (DApps) для стартапа,63460.05,238,10374.66
Проектирование и разработка NoSQL баз данных для логистической компании,32633.87,200,14502.66
Создание интерфейсов взаимодействия с использованием микросервисной архитектуры,22853.89,84,8158.11
Управление облачной инфраструктурой в GCP с расширенным функционалом,25564.68,141,10897.49
Разработка серверной части для IoT-решений на основе анализа требований,54829.92,295,16811.36
Внедрение комплексных систем безопасности с учетом масштабируемости,12385.88,189,4606.83
Функциональное тестирование программных продуктов для малого и среднего бизнеса,3180.81,33,1598.69
Оказание технической поддержки второй и третьей линии с расширенным функционалом,2353.69,36,621.79
UX-исследование и проектирование с расширенным функционалом,11857.98,89,4017.35
Проектирование и разработка SQL баз данных для стартапа,19936.72,111,6042.85
Построение BI-систем и аналитики с фокусом на безопасность,16055.23,116,9564.29
Создание фулстек решения с учетом масштабируемости,68280.8,389,12864.02
Оптимизация рабочих потоков с использованием микросервисной архитектуры,14808.98,148,8196.74
Проектирование и разработка NoSQL баз данных для логистической компании,14296.13,41,7784.58
Настройка ETL-процессов для интеграции данных для крупной корпорации,10100.81,107,5614.49
Базовая IT-поддержка пользователей для образовательной платформы,3109.1,21,525.7
Разработка высокопроизводительного iOS приложения на основе анализа требований,45729.55,382,5384.84
Разработка дашбордов и отчетов для конечных пользователей,4808.17,49,2117.09
Миграция данных в SQL базы для внутреннего использования,10825.71,98,5980.41
Проектирование взаимодействия пользователя для медицинской организации,8939.43,35,4658.98
Разработка пользовательского интерфейса (UI) для стартапа,4566.84,25,532.84
Разработка серверной части для IoT-решений с использованием микросервисной архитектуры,47235.11,368,13101.86
Оказание технической поддержки второй и третьей линии для финансового сектора,6272.1,29,884.41
Разработка бэкенда для управления IoT-устройствами с фокусом на безопасность,28383.86,277,6866.06
Разработка веб-приложения полного цикла с учетом масштабируемости,47822.52,162,26228.62
Разработка бэкенда для управления IoT-устройствами для финансового сектора,26468.59,122,8294.36
Создание облачной платформы для IoT с применением облачных технологий,34818.8,133,4407.95
Создание Android приложения под ключ с учетом масштабируемости,51742.97,343,20519.78
Разработка пользовательского интерфейса (UI) для финансового сектора,4586.91,38,759.69
Разработка высокопроизводительного Android приложения для конечных пользователей,38355.7,153,9204.41
Разработка смарт-контрактов на Solidity в сфере E-commerce,30566.08,379,12205.75
Создание кроссплатформенного приложения (Flutter) с расширенным функционалом,16171.54,104,4745.1
Обслуживание серверов и сетевого оборудования для внутреннего использования,6815.87,34,966.08
Разработка облачного SaaS продукта в сфере E-commerce,96382.59,372,23375.01
Прикладная статистика для бизнеса на основе анализа требований,6763.66,44,3101.12
Разработка пайплайнов обработки данных для стартапа,21443.08,171,6093.78
Разработка API для интеграции систем с расширенным функционалом,20891.74,168,12489.1
Разработка sentiment analysis моделей с расширенным функционалом,74834.51,520,17821.43
Проектирование и разработка SQL баз данных для внутреннего использования,17110.82,110,3928.02
Функциональное тестирование программных продуктов для конечных пользователей,7056.29,58,1656.9
Проведение аудита IT-безопасности на основе анализа требований,4793.37,131,1091.86
Разработка пользовательского интерфейса с использованием микросервисной архитектуры,24087.92,84,6050.63
Управление облачной инфраструктурой в AWS для малого и среднего бизнеса,5955.08,67,2911.37
Прикладная статистика для бизнеса для крупной корпорации,6935.43,83,1872.31
Прикладная статистика для бизнеса с учетом масштабируемости,13599.48,54,2992.47
Разработка смарт-контрактов на Solidity в сфере E-commerce,50552.96,326,6337.22
Архитектура облачных решений на Azure для крупной корпорации,23031.12,66,11862.88
Разработка B2B/B2C E-commerce решения для финансового сектора,21496.62,201,8229.82
Создание облачной платформы для IoT с применением облачных технологий,53585.12,187,7960.63
Разработка React Native приложения с нуля с применением облачных технологий,16495.67,398,8585.87
Разработка нативного iOS приложения с фокусом на безопасность,38616.43,303,16875.53
Создание нереляционных хранилищ данных для малого и среднего бизнеса,23338.97,76,9789.7
Разработка мобильного приложения на Flutter с применением облачных технологий,28339.1,386,8367.25
Оптимизация IT-процессов с использованием микросервисной архитектуры,9072.66,50,3370.07
Разработка 2D/3D игр на Unity на основе анализа требований,34087.93,459,15047.8
Программирование встраиваемых систем для IoT с учетом масштабируемости,36560.7,270,7509.48
Создание конвейеров обработки Big Data с учетом масштабируемости,101570.39,425,43101.16
Проектирование UI для медицинской организации,5030.34,21,1785.49
Разработка sentiment analysis моделей для финансового сектора,73750.96,546,33147.4
Разработка децентрализованных приложений (DApps) для медицинской организации,18362.45,261,3938.35
Разработка пользовательского опыта (UX) на основе анализа требований,14247.12,65,2454.92
Внедрение SAP S/4HANA для стартапа,80642.6,358,32401.63
Создание бэкенда с учетом масштабируемости,26241.46,240,8985.38
Разработка API с фокусом на безопасность,39317.16,175,5104.76
Разработка Flutter приложения с нуля с учетом масштабируемости,41384.34,337,16515.54
Разработка бэкенда для управления IoT-устройствами с фокусом на безопасность,21792.19,63,4101.74
Разработка высокопроизводительного iOS приложения для образовательной платформы,12222.39,152,6773.47
Разработка мобильного приложения на Flutter на основе анализа требований,27692.68,95,11718.89
Создание AAA-проектов на Unreal Engine для образовательной платформы,26734.16,420,14603.33
Разработка 2D/3D игр на Unity для медицинской организации,13174.32,141,2488.51
Проведение ручного тестирования ПО для финансового сектора,8137.52,27,1253.28
Создание AAA-проектов на Unreal Engine на основе анализа требований,17420.17,564,6503.61
Разработка децентрализованных приложений (DApps) с использованием микросервисной архитектуры,71045.97,112,14317.88
Разработка облачного SaaS продукта для конечных пользователей,84612.91,450,41907.1
Проведение статистического анализа данных для медицинской организации,18296.29,128,5212.63
Построение прогнозных моделей для финансового сектора,54568.74,120,26808.7
Создание мультиарендной SaaS платформы с использованием микросервисной архитектуры,31168.27,141,10360.01
Извлечение ценной информации из Big Data с использованием микросервисной архитектуры,75776.16,140,30741.94
Разработка и аудит смарт-контрактов на основе анализа требований,63177.91,286,37531.54
Управление облачной инфраструктурой в AWS для малого и среднего бизнеса,27084.6,117,11647.3
Внедрение корпоративной аналитики с учетом масштабируемости,7054.82,35,4028.94
Предоставление команды IT-специалистов для финансового сектора,14449.22,361,7728.05
Оптимизация IT-процессов для крупной корпорации,9461.17,40,1317.75
Построение системы управления проектами для внутреннего использования,23923.76,102,2891.35
Аутсорсинг функций IT-менеджмента на основе анализа требований,15090.43,111,4171.67
Разработка Flutter приложения с нуля для финансового сектора,52524.9,348,18757.86
Разработка дашбордов и отчетов в сфере E-commerce,4698.44,100,2507.75
Внедрение автоматизированного тестирования ПО для конечных пользователей,8930.5,72,3474.99
Разработка серверной части веб-приложения с применением облачных технологий,28975.52,112,11415.45
Тестирование на проникновение с фокусом на безопасность,32699.69,92,15561.87
Разработка API для интеграции систем для логистической компании,17974.04,118,7889.19
Разработка API для крупной корпорации,14183.14,253,8005.99
Создание облачной платформы для IoT с применением облачных технологий,50255.34,338,20453.53
Разработка смарт-контрактов на Solidity с расширенным функционалом,41497.98,118,11704.85
Внедрение алгоритмов распознавания образов на основе анализа требований,45499.14,237,20402.03
Внедрение AmoCRM для внутреннего использования,39129.18,164,22086.94
Архитектура облачных решений на AWS с расширенным функционалом,17506.98,98,2823.44
Предоставление команды IT-специалистов с фокусом на безопасность,9474.43,194,3052.09
Разработка 2D/3D игр на Unity для крупной корпорации,23804.12,341,8533.41
Разработка маркетплейса на основе анализа требований,21428.76,388,6551.41
Аудит соответствия стандартам безопасности для конечных пользователей,2617.66,107,1082.16
Проектирование и разработка веб-платформы в сфере E-commerce,54637.04,197,21755.64
Приемочное тестирование для медицинской организации,9620.11,57,2488.67
Внедрение SAP S/4HANA для крупной корпорации,123804.61,180,66581.49
Прикладная статистика для бизнеса для малого и среднего бизнеса,19975.84,107,11585.96
Создание интерактивных приложений на Unity с фокусом на безопасность,54610.97,490,22697.93
Оказание технической поддержки второй и третьей линии для стартапа,4730.95,33,2014.3
Оценка уровня защищенности систем для медицинской организации,4533.95,55,2507.29
Управление облачной инфраструктурой в Azure с использованием микросервисной архитектуры,39609.16,104,11704.08
Создание клиентской части веб-приложения в сфере E-commerce,11206.97,217,4156.49
Создание облачной платформы для IoT с учетом масштабируемости,32335.69,269,13806.67
Настройка и оптимизация AWS для образовательной платформы,7721.62,125,4301.06
Автоматизация регрессионного тестирования для образовательной платформы,17301.92,25,4266.56
Разработка серверной части для IoT-решений с фокусом на безопасность,28021.34,280,14387.8
Автоматизация бизнес-процессов с учетом масштабируемости,12079.15,231,5358.7
Оказание технической поддержки первой линии для образовательной платформы,791.71,19,85.96
Функциональное тестирование программных продуктов для конечных пользователей,8105.28,54,853.23
Разработка нативного Android приложения для внутреннего использования,20346.76,59,7338.72
Автоматизация бизнес-процессов для малого и среднего бизнеса,15598.04,257,3931.6
Анализ и интерпретация данных для принятия решений для финансового сектора,14452.41,124,7834.49
Автоматизация регрессионного тестирования для стартапа,8495.55,66,2375.9
Оценка зрелости IT-инфраструктуры с фокусом на безопасность,5178.99,67,1543.94
Внедрение 1C:ERP с учетом масштабируемости,45198.89,647,26613.34
Создание нереляционных хранилищ данных на основе анализа требований,10072.74,157,2920.55
UX-исследование и проектирование в сфере E-commerce,2543.36,82,798.68
Создание интерфейсов взаимодействия для конечных пользователей,25754.92,62,10897.92
Архитектура облачных решений на AWS с расширенным функционалом,17988.19,69,9986.75
Оказание технической поддержки первой линии для образовательной платформы,3123.6,18,363.53
Прикладная статистика для бизнеса с расширенным функционалом,15213.4,60,8148.66
Разработка sentiment analysis моделей для финансового сектора,79404.46,226,33766.3
Интеграция CRM с маркетинговыми инструментами с использованием микросервисной архитектуры,24649.33,281,10130.89
Создание фулстек решения для конечных пользователей,39949.82,358,20596.96
Проектирование и разработка веб-платформы с фокусом на безопасность,14238.76,278,6085.2
Разработка игр на Unreal Engine для финансового сектора,66780.51,480,28082.91
Аутсорсинг функций IT-менеджмента с учетом масштабируемости,11987.31,86,2653.63
Разработка стратегии автоматизации инфраструктуры для финансового сектора,31873.73,59,18732.17
Оказание технической поддержки первой линии для крупной корпорации,1048.72,28,305.13
Внедрение автоматизированного тестирования ПО для логистической компании,13340.48,36,7347.88
Разработка стратегии автоматизации инфраструктуры для внутреннего использования,24308.47,140,12796.23
Аутсорсинг функций IT-менеджмента с фокусом на безопасность,12060.4,77,3870.7
Создание Android приложения под ключ для образовательной платформы,10828.3,320,2635.92
Разработка нативного Android приложения с использованием микросервисной архитектуры,27857.59,263,14536.2
Разработка нативного Android приложения для малого и среднего бизнеса,49357.44,250,28489.87
Внедрение AmoCRM для внутреннего использования,10233.23,166,5476.35
Разработка пользовательского интерфейса с использованием микросервисной архитектуры,22597.43,174,12359.73
Разработка высокопроизводительного Android приложения с использованием микросервисной архитектуры,22816.91,270,6415.41
Создание конвейеров обработки Big Data для финансового сектора,101901.77,412,17323.8
Проектирование и разработка SQL баз данных с использованием микросервисной архитектуры,20221.23,92,7137.81
Подбор IT-персонала для проекта с применением облачных технологий,27177.14,346,13049.31
Разработка фронтенда и бэкенда для DApps для внутреннего использования,28833.88,78,9132.38
Разработка пользовательского интерфейса для крупной корпорации,24397.33,173,6627.51
Разработка децентрализованных приложений (DApps) для крупной корпорации,53876.91,477,30440.83
Разработка мобильного приложения на Flutter с применением облачных технологий,61331.05,341,28903.58
Создание кроссплатформенного приложения (Flutter) для крупной корпорации,7946.15,88,3574.3
Проведение статистического анализа данных для финансового сектора,12094.17,86,6770.88
Разработка децентрализованных приложений (DApps) с использованием микросервисной архитектуры,109487.28,170,24003.65
Разработка прошивок и ПО для IoT-устройств для малого и среднего бизнеса,21711.19,95,11122.84
Прикладная статистика для бизнеса для финансового сектора,6448.88,66,2879.84
Создание AAA-проектов на Unreal Engine для конечных пользователей,23228.07,330,8950.71
Проектирование и разработка NoSQL баз данных для стартапа,18221.02,73,3952.66
Оптимизация IT-процессов с применением облачных технологий,3287.42,32,1940.06
Создание кроссплатформенного приложения (React Native) для крупной корпорации,58877.32,80,35199.65
Разработка пользовательского интерфейса (UI) в сфере E-commerce,1562.64,28,833.54
Функциональное тестирование программных продуктов для финансового сектора,7776.76,12,970.39
Базовая IT-поддержка пользователей с применением облачных технологий,2496.35,22,470.15
Внедрение корпоративной аналитики для малого и среднего бизнеса,18008.84,107,2362.95
Проведение ручного тестирования ПО для логистической компании,2677.72,23,1029.65
Интеграция ERP с другими системами для крупной корпорации,46749.25,158,14457.52
Разработка API с применением облачных технологий,26629.5,189,11404.99
Разработка дашбордов и отчетов с использованием микросервисной архитектуры,19330.33,70,9979.08
Стратегический IT-консалтинг для внутреннего использования,14531.35,59,4771.21
Архитектура облачных решений на AWS с использованием микросервисной архитектуры,8260.9,30,1175.45
Анализ и интерпретация данных для принятия решений для медицинской организации,17826.0,130,8587.77
Разработка смарт-контрактов на Solidity с расширенным функционалом,65477.55,67,8253.21
Интеграция CRM с маркетинговыми инструментами с фокусом на безопасность,32560.74,152,17709.73
Разработка 2D/3D игр на Unity для медицинской организации,54354.93,199,17218.78
Создание фулстек решения с использованием микросервисной архитектуры,49491.12,185,17707.86
Создание интернет-магазина с нуля для логистической компании,91027.15,321,21081.29
Разработка IT-стратегии для медицинской организации,9253.46,42,3839.92
Автоматизация DevOps процессов с расширенным функционалом,21637.65,95,3432.63
Разработка игр на Unreal Engine с расширенным функционалом,13115.93,476,1405.89
Аутсорсинг разработки для конечных пользователей,10441.05,159,4617.73
Разработка систем компьютерного зрения для внутреннего использования,74310.0,237,42664.84
Управление IT-проектами по методологиям Agile/Waterfall с использованием микросервисной архитектуры,6494.18,135,1163.98
Проектирование и разработка SaaS решения с расширенным функционалом,34359.71,581,14344.3
Разработка фронтенда и бэкенда для DApps для стартапа,24612.03,232,3492.31
Операционный IT-консалтинг с расширенным функционалом,7251.95,17,3977.61
Настройка и оптимизация Azure на основе анализа требований,23543.23,167,11149.13
Управление облачной инфраструктурой в Azure в сфере E-commerce,35943.16,169,7082.89
Проведение аналитики больших данных с фокусом на безопасность,40876.71,161,17919.24
Проектирование UI для логистической компании,6292.59,10,3093.26
Разработка игр на Unity с фокусом на безопасность,40888.64,355,7234.3
Разработка нативного iOS приложения для стартапа,58662.38,110,20970.01
Проведение статистического анализа данных в сфере E-commerce,18888.31,129,5404.72
Предоставление выделенной команды разработчиков с расширенным функционалом,23059.18,144,7440.79
Внедрение BPM-систем для финансового сектора,34956.11,259,13162.2
Настройка ETL-процессов для интеграции данных для логистической компании,27052.33,214,4744.24
Разработка IT-стратегии для финансового сектора,15357.39,22,3760.59
Разработка мобильного приложения на Flutter с расширенным функционалом,68388.83,224,33026.65
Frontend разработка для внутреннего использования,14419.87,224,8419.09
Разработка игр на Unreal Engine на основе анализа требований,62345.75,354,25118.9
Создание логики децентрализованных приложений на блокчейне для малого и среднего бизнеса,51581.7,114,5269.75
Создание логики децентрализованных приложений на блокчейне с использованием микросервисной архитектуры,16816.45,91,6841.52
Проектирование взаимодействия пользователя на основе анализа требований,11967.68,78,7035.18
Разработка Flutter приложения с нуля с учетом масштабируемости,65997.2,201,9843.57
Проектирование UI для образовательной платформы,6053.38,33,2280.72
Разработка веб-приложения полного цикла с фокусом на безопасность,65410.62,131,24192.03
Автоматизация бизнес-процессов с расширенным функционалом,34644.33,93,11708.44
Создание чат-ботов и систем анализа текста для логистической компании,32910.49,291,10579.62
Миграция данных в SQL базы с фокусом на безопасность,24355.5,33,8922.07
Разработка пользовательского опыта (UX) с учетом масштабируемости,1666.0,62,361.98
Настройка автоматизации развертывания в сфере E-commerce,6613.64,20,2257.71
Создание нереляционных хранилищ данных для медицинской организации,23103.13,137,8054.21
Оказание технической поддержки первой линии для логистической компании,2770.19,9,376.09
Проектирование и разработка SQL баз данных с применением облачных технологий,23087.66,114,10170.12
Проведение ручного тестирования ПО для образовательной платформы,2880.91,56,942.97
Проведение ручного тестирования ПО с использованием микросервисной архитектуры,5746.91,38,3370.86
Миграция в Azure для логистической компании,22255.69,133,8911.86
Создание Android приложения под ключ для малого и среднего бизнеса,45760.35,300,22374.74
Построение системы управления проектами в сфере E-commerce,14072.0,30,4392.48
Внедрение комплексных систем безопасности для образовательной платформы,18983.3,83,4233.49
Разработка веб-приложения полного цикла на основе анализа требований,68070.14,338,31375.2
Базовая IT-поддержка пользователей для образовательной платформы,2249.92,9,698.42
Создание клиентской части веб-приложения с расширенным функционалом,14880.99,208,5989.87
Консультации по цифровой трансформации для финансового сектора,5789.04,65,734.98
Создание решений для анализа изображений и видео с фокусом на безопасность,62909.92,112,19213.38
Извлечение ценной информации из Big Data с учетом масштабируемости,58311.08,316,27607.0
Управление IT-проектами по методологиям Agile/Waterfall для стартапа,9749.42,122,3569.29
Проведение статистического анализа данных с учетом масштабируемости,21306.99,117,8891.89
Внедрение 1C:ERP с учетом масштабируемости,59670.72,522,29608.26
Оптимизация рабочих потоков в сфере E-commerce,44258.07,267,22211.96
Создание iOS приложения под ключ с использованием микросервисной архитектуры,27258.74,378,11498.68
Разработка пользовательского интерфейса (UI) для крупной корпорации,1778.01,10,228.27
Аудит соответствия стандартам безопасности с учетом масштабируемости,17535.52,67,9518.32
Разработка нативного iOS приложения с учетом масштабируемости,18608.27,271,8073.79
Развертывание решений по киберзащите для медицинской организации,16641.88,158,5976.92
Разработка IT-стратегии для стартапа,7856.57,66,2071.16
Разработка React Native приложения с нуля с учетом масштабируемости,39639.46,392,17896.4
Внедрение автоматизированного тестирования ПО с учетом масштабируемости,10115.42,94,2929.57
Создание iOS приложения под ключ для крупной корпорации,24829.85,78,12503.25
Разработка систем компьютерного зрения для логистической компании,69982.99,335,8737.12
Оказание технической поддержки второй и третьей линии с фокусом на безопасность,932.26,32,496.15
Проектирование и разработка SQL баз данных для внутреннего использования,4834.82,102,688.98
Разработка децентрализованных приложений (DApps) для внутреннего использования,46073.01,366,22693.05
Извлечение ценной информации из Big Data для стартапа,70332.63,405,37901.6
Анализ и интерпретация данных для принятия решений для финансового сектора,21841.79,85,4539.94
Frontend разработка с использованием микросервисной архитектуры,24228.55,64,10200.66
Оказание технической поддержки первой линии на основе анализа требований,1549.98,16,651.98
Настройка и адаптация CRM для отдела продаж с применением облачных технологий,37819.75,103,15858.41
Создание iOS приложения под ключ с расширенным функционалом,12109.15,138,7209.62
Экспертная IT-поддержка и решение инцидентов для внутреннего использования,6312.03,12,1326.97
Разработка пользовательского интерфейса (UI) с применением облачных технологий,3878.77,16,2050.63
Миграция данных в SQL базы для образовательной платформы,10863.45,66,5416.55
Внедрение комплексных систем безопасности с расширенным функционалом,13899.96,146,4206.15
Миграция в AWS для стартапа,31694.71,34,11157.09
Разработка дашбордов и отчетов для крупной корпорации,14022.09,73,4256.84
Frontend разработка для конечных пользователей,11475.0,214,6606.51
Построение хранилищ больших данных для медицинской организации,98739.74,559,23406.87
Backend разработка для образовательной платформы,23678.05,154,7005.08
Автоматизация регрессионного тестирования для конечных пользователей,17331.49,73,1979.03
Построение BI-систем и аналитики на основе анализа требований,16786.9,48,9627.62
Создание Android приложения под ключ с применением облачных технологий,22333.75,72,8797.19
Разработка IT-стратегии для крупной корпорации,13091.9,54,5123.72
Разработка пользовательского опыта (UX) в сфере E-commerce,2317.81,88,716.12
Интеграция ERP с другими системами с расширенным функционалом,137791.76,635,72159.83
Разработка бэкенда для управления IoT-устройствами с учетом масштабируемости,12819.88,365,7010.89
Разработка масштабируемой E-commerce платформы для логистической компании,16383.11,566,7561.98
Создание интерактивных приложений на Unity для образовательной платформы,56725.07,278,5841.26
Консультации по цифровой трансформации для стартапа,5183.27,101,1756.83
Оценка уровня защищенности систем с использованием микросервисной архитектуры,21961.09,106,12056.11
Создание iOS приложения под ключ на основе анализа требований,39144.6,329,11279.04
Внедрение комплексных систем безопасности на основе анализа требований,17484.43,176,3681.62
Внедрение автоматизированного тестирования ПО с использованием микросервисной архитектуры,4707.51,100,683.62
Настройка и оптимизация GCP с применением облачных технологий,34510.18,128,5914.25
Оказание технической поддержки второй и третьей линии для финансового сектора,946.63,40,380.56
Оказание технической поддержки первой линии с расширенным функционалом,2537.77,27,1240.67
Разработка пайплайнов обработки данных для стартапа,8320.41,108,1859.88
Настройка межсетевых экранов и систем обнаружения вторжений для крупной корпорации,21294.17,44,6600.68
Разработка бэкенда для управления IoT-устройствами для крупной корпорации,46634.16,301,14846.79
Разработка аналитических моделей для Big Data для крупной корпорации,23414.47,175,2651.88
Анализ и интерпретация данных для принятия решений для конечных пользователей,12256.37,109,2485.26
Настройка межсетевых экранов и систем обнаружения вторжений для логистической компании,27589.35,158,7652.46
Создание Android приложения под ключ для конечных пользователей,29659.3,342,9660.94
Аутсорсинг функций IT-менеджмента в сфере E-commerce,16574.84,176,5428.38
Разработка фронтенда и бэкенда для DApps с применением облачных технологий,25288.68,69,6156.89
Обслуживание серверов и сетевого оборудования для внутреннего использования,5283.44,43,618.51
Автоматизация бизнес-процессов с фокусом на безопасность,46691.12,299,6296.31
Управление облачной инфраструктурой в Azure с применением облачных технологий,36361.93,130,19893.37
Создание интерфейсов взаимодействия с применением облачных технологий,7139.55,170,3208.5
Внедрение CRM-системы для образовательной платформы,50709.29,285,24571.49
Проектирование UI с применением облачных технологий,1738.15,45,398.54
Внедрение AmoCRM для малого и среднего бизнеса,43610.74,174,21918.1
Внедрение Bitrix24 для стартапа,54715.51,124,20395.08
Оказание технической поддержки второй и третьей линии для малого и среднего бизнеса,2061.14,23,412.06
Fullstack разработка для медицинской организации,60812.8,189,20476.81
Прикладная статистика для бизнеса для финансового сектора,9318.18,44,1657.69
Построение BI-систем и аналитики для внутреннего использования,19290.52,60,2560.35
Масштабирование NoSQL баз данных с учетом масштабируемости,10048.71,53,2821.0
Разработка серверной части для IoT-решений для образовательной платформы,31220.75,119,5591.21
Разработка прошивок и ПО для IoT-устройств для внутреннего использования,23646.98,138,4984.9
Построение DWH и витрин данных с учетом масштабируемости,9212.67,198,4964.28
Приемочное тестирование для крупной корпорации,6666.44,24,1177.17
Разработка нативного iOS приложения для конечных пользователей,35720.6,221,3955.71
Анализ и интерпретация данных для принятия решений для образовательной платформы,6133.77,58,2706.61
