Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Настройка и оптимизация Azure для малого и среднего бизнеса,30244.12,44,10760.99
Подбор IT-персонала для проекта с расширенным функционалом,7587.7,349,1153.99
Разработка API с применением облачных технологий,27227.55,257,14475.23
Развертывание решений по киберзащите для образовательной платформы,8824.94,71,4699.26
Fullstack разработка для медицинской организации,37803.45,272,22162.11
Интеграция ERP с другими системами для малого и среднего бизнеса,28898.18,695,8892.44
Создание дизайна интерфейсов для стартапа,2400.32,46,1258.58
Разработка пользовательского интерфейса (UI) с расширенным функционалом,3161.8,55,1339.92
Архитектура облачных решений на GCP на основе анализа требований,27690.38,190,11995.43
Разработка аналитических моделей для Big Data с расширенным функционалом,48716.89,253,8036.66
Оптимизация реляционных СУБД для малого и среднего бизнеса,21023.77,47,7766.22
Проведение пенетрационного тестирования (пентеста) для крупной корпорации,33322.37,112,9691.8
Оказание технической поддержки первой линии с фокусом на безопасность,2988.01,21,524.48
Создание дизайна интерфейсов для медицинской организации,3104.43,20,674.51
Внедрение алгоритмов распознавания образов для финансового сектора,76148.1,550,9194.38
Проектирование и реализация RESTful/GraphQL API на основе анализа требований,19677.58,83,2769.05
Программирование встраиваемых систем для IoT для медицинской организации,37813.91,179,13994.38
Разработка пайплайнов обработки данных для крупной корпорации,20978.79,210,6159.75
Проектирование и разработка SQL баз данных для крупной корпорации,7848.98,30,4665.77
Проектирование взаимодействия пользователя для финансового сектора,9143.58,86,2755.49
Проведение пенетрационного тестирования (пентеста) с фокусом на безопасность,32948.09,46,12531.26
Разработка 2D/3D игр на Unity для образовательной платформы,32978.0,80,4922.24
Анализ уязвимостей веб-приложений для внутреннего использования,10289.98,124,2583.59
Создание дизайна интерфейсов для стартапа,3907.24,41,1768.26
Создание клиентской части веб-приложения для финансового сектора,13599.2,209,5267.31
Создание Android приложения под ключ в сфере E-commerce,44627.52,102,6682.98
Миграция в AWS для образовательной платформы,35586.77,180,12937.97
Управление облачной инфраструктурой в AWS с фокусом на безопасность,18311.91,33,6554.73
Разработка пользовательского интерфейса с применением облачных технологий,27337.29,203,15560.53
Разработка высокопроизводительного iOS приложения для внутреннего использования,52539.37,175,17462.83
Проектирование взаимодействия пользователя с применением облачных технологий,13648.5,29,5588.52
Управление облачной инфраструктурой в Azure для стартапа,37122.98,53,6019.73
Разработка API для интеграции систем для малого и среднего бизнеса,14863.13,60,5794.53
Проектирование взаимодействия пользователя для образовательной платформы,10106.9,30,6027.93
Аутсорсинг разработки для образовательной платформы,21780.08,74,3395.88
Построение BI-систем и аналитики с применением облачных технологий,11902.47,69,7032.16
Разработка прошивок и ПО для IoT-устройств для медицинской организации,16656.47,290,6417.86
Архитектура облачных решений на GCP с применением облачных технологий,12237.6,72,4835.19
Базовая IT-поддержка пользователей с применением облачных технологий,3280.14,28,1549.95
Проектирование UI на основе анализа требований,9360.55,13,4733.32
Консультации по цифровой трансформации для финансового сектора,8013.8,32,4584.24
Предоставление выделенной команды разработчиков для финансового сектора,14075.91,167,6968.13
Создание ML-решений для предсказаний с использованием микросервисной архитектуры,11954.52,84,3753.19
Создание AAA-проектов на Unreal Engine для внутреннего использования,69876.83,407,22098.33
Создание клиентской части веб-приложения с учетом масштабируемости,18422.03,143,7709.72
Разработка бэкенда для управления IoT-устройствами с фокусом на безопасность,29433.99,355,3505.95
Создание клиентской части веб-приложения для медицинской организации,15614.76,131,7459.94
Разработка IT-стратегии для логистической компании,10390.68,46,5781.45
Создание фулстек решения с использованием микросервисной архитектуры,18234.71,299,3314.17
Настройка и адаптация CRM для отдела продаж для крупной корпорации,33034.08,194,17089.7
Создание решений для анализа изображений и видео для медицинской организации,40558.92,245,9274.62
Разработка высокопроизводительного iOS приложения с фокусом на безопасность,23254.97,250,3787.9
Операционный IT-консалтинг на основе анализа требований,9100.88,12,1657.23
Разработка веб-приложения полного цикла с использованием микросервисной архитектуры,56829.67,373,16421.75
Разработка серверной части веб-приложения в сфере E-commerce,32627.38,123,7034.51
Оптимизация реляционных СУБД с применением облачных технологий,20520.53,151,4177.99
Разработка пайплайнов обработки данных в сфере E-commerce,6192.02,95,2069.89
Разработка решений на основе обработки естественного языка (NLP) для стартапа,47363.1,258,10312.26
Разработка и аудит смарт-контрактов для внутреннего использования,22682.78,384,11730.61
Разработка React Native приложения с нуля для конечных пользователей,29381.31,196,12122.59
Backend разработка для крупной корпорации,5739.95,46,1642.06
Разработка моделей классификации и регрессии для финансового сектора,28880.66,451,10442.59
Создание мультиарендной SaaS платформы для медицинской организации,36440.06,257,15106.71
Проведение аудита IT-безопасности с расширенным функционалом,15054.76,116,8740.54
Проведение пенетрационного тестирования (пентеста) на основе анализа требований,8781.0,113,4374.35
Интеграция CRM с маркетинговыми инструментами для логистической компании,37194.09,192,12405.23
Проектирование и разработка NoSQL баз данных для стартапа,22518.1,167,10272.16
Создание нереляционных хранилищ данных на основе анализа требований,20686.94,162,6028.7
Разработка моделей классификации и регрессии для медицинской организации,77741.66,479,17413.12
Оценка уровня защищенности систем с учетом масштабируемости,17466.43,90,9627.78
Проектирование и реализация RESTful/GraphQL API для образовательной платформы,24733.62,93,14212.63
Приемочное тестирование с фокусом на безопасность,4772.77,36,951.2
Разработка нативного iOS приложения для образовательной платформы,53194.33,110,14552.27
Внедрение корпоративной аналитики для стартапа,11015.01,96,2851.35
Аутсорсинг функций IT-менеджмента для малого и среднего бизнеса,19107.1,52,8649.5
Автоматизация DevOps процессов для малого и среднего бизнеса,11071.97,176,4317.71
Управление IT-проектами по методологиям Agile/Waterfall с расширенным функционалом,5093.16,91,1246.98
Разработка игр на Unreal Engine для стартапа,16238.19,389,9554.68
Предоставление выделенной команды разработчиков с учетом масштабируемости,12331.38,341,6715.62
Разработка Flutter приложения с нуля с учетом масштабируемости,33462.93,165,19835.35
Внедрение BPM-систем для логистической компании,7031.03,279,3379.57
Проектирование UI для малого и среднего бизнеса,1099.13,21,534.81
Построение DWH и витрин данных с учетом масштабируемости,14308.71,86,2594.45
Fullstack разработка для внутреннего использования,43246.27,145,24514.21
Разработка мобильного приложения на Flutter для медицинской организации,42241.25,393,10792.15
Разработка Firmware для микроконтроллеров с расширенным функционалом,7043.53,47,2294.22
Извлечение ценной информации из Big Data с фокусом на безопасность,43003.4,89,13681.63
Создание кроссплатформенного приложения (Flutter) на основе анализа требований,35954.93,78,11581.12
Разработка высокопроизводительного iOS приложения с учетом масштабируемости,54567.24,351,25458.37
Внедрение автоматизированного тестирования ПО в сфере E-commerce,12215.6,104,6251.98
Внедрение корпоративной аналитики для медицинской организации,16204.75,58,6886.73
Создание логики децентрализованных приложений на блокчейне для стартапа,30604.89,200,8512.65
Разработка аналитических моделей для Big Data на основе анализа требований,40853.62,469,19169.03
Создание облачной платформы для IoT для образовательной платформы,47140.75,138,6984.17
Аутсорсинг разработки для малого и среднего бизнеса,36783.43,354,19015.19
Проведение аудита IT-безопасности для образовательной платформы,8592.6,136,4233.53
Разработка нативного Android приложения с фокусом на безопасность,45179.53,54,5858.45
Оказание технической поддержки первой линии для стартапа,3919.63,21,639.25
Управление облачной инфраструктурой в Azure для внутреннего использования,7868.92,146,1386.4
Разработка мобильного приложения на Flutter для стартапа,57045.84,386,15136.86
Миграция в AWS для логистической компании,17646.3,75,4858.49
Обслуживание серверов и сетевого оборудования для финансового сектора,3636.58,23,2158.44
Проектирование и разработка SQL баз данных на основе анализа требований,19069.78,86,2116.26
Интеграция ERP с другими системами для образовательной платформы,118608.43,509,42991.18
Разработка высокопроизводительного Android приложения для логистической компании,37890.42,340,9860.39
Аутсорсинг функций IT-менеджмента для образовательной платформы,22055.41,128,10227.17
Разработка стратегии автоматизации инфраструктуры с использованием микросервисной архитектуры,17602.66,138,9147.84
Создание пользовательских интерфейсов для DApps для стартапа,114142.37,186,60916.6
Оценка уровня защищенности систем на основе анализа требований,19859.04,146,3293.18
Разработка высокопроизводительного Android приложения для логистической компании,40525.41,232,23841.12
Создание решений для анализа изображений и видео с применением облачных технологий,60347.22,103,33595.26
Функциональное тестирование программных продуктов в сфере E-commerce,8652.97,59,1828.25
Управление IT-проектами по методологиям Agile/Waterfall с расширенным функционалом,5355.9,121,1863.11
Проектирование и разработка SaaS решения с фокусом на безопасность,26505.89,362,11639.68
Разработка высококачественной графики на Unreal Engine для стартапа,39243.72,521,19832.43
UX-исследование и проектирование для финансового сектора,6065.29,56,2895.45
Создание ML-решений для предсказаний с учетом масштабируемости,49593.63,476,29029.44
Программирование встраиваемых систем для IoT для крупной корпорации,30997.97,337,13126.68
Разработка высокопроизводительного Android приложения для малого и среднего бизнеса,27426.77,181,5768.28
Разработка нативного iOS приложения для конечных пользователей,14416.29,182,2817.09
Тестирование на проникновение с учетом масштабируемости,13085.19,72,5554.41
Создание чат-ботов и систем анализа текста с применением облачных технологий,36298.08,307,14356.3
Разработка React Native приложения с нуля для конечных пользователей,39163.99,231,18317.01
Подбор IT-персонала для проекта для стартапа,29646.84,291,13002.64
Внедрение комплексных систем безопасности для конечных пользователей,21747.96,52,7115.78
Разработка React Native приложения с нуля для конечных пользователей,18455.09,247,8235.86
Базовая IT-поддержка пользователей с фокусом на безопасность,2126.57,13,365.73
Создание решений для анализа изображений и видео для финансового сектора,57765.78,497,9241.52
Проведение статистического анализа данных для образовательной платформы,14396.8,149,1695.72
Разработка игр на Unity для крупной корпорации,58237.74,434,28860.87
Оптимизация рабочих потоков для финансового сектора,15105.52,257,6403.56
Разработка нативного Android приложения с применением облачных технологий,48693.83,228,7853.03
Управление облачной инфраструктурой в Azure для медицинской организации,33475.96,58,16391.45
Разработка высокопроизводительного iOS приложения для крупной корпорации,13269.14,165,3657.7
Построение прогнозных моделей для образовательной платформы,26523.05,353,6140.07
Разработка игр на Unity для медицинской организации,17667.93,62,7469.71
Оптимизация реляционных СУБД с фокусом на безопасность,25271.09,75,10161.78
Разработка React Native приложения с нуля с использованием микросервисной архитектуры,9462.08,275,4896.13
Построение DWH и витрин данных на основе анализа требований,13541.78,123,1481.72
Проведение ручного тестирования ПО с учетом масштабируемости,7333.29,32,3980.94
Создание конвейеров обработки Big Data на основе анализа требований,16813.51,205,4159.97
Автоматизация регрессионного тестирования с учетом масштабируемости,18366.73,21,2762.39
Оптимизация реляционных СУБД для крупной корпорации,16532.26,180,2333.9
Разработка высокопроизводительного Android приложения для внутреннего использования,43324.96,328,17673.74
Проведение пенетрационного тестирования (пентеста) для финансового сектора,3361.68,103,405.5
Предоставление выделенной команды разработчиков с учетом масштабируемости,17675.99,258,3215.47
Разработка API с использованием микросервисной архитектуры,18779.33,317,3348.62
Разработка серверной части веб-приложения в сфере E-commerce,19339.68,291,8523.04
Предоставление команды IT-специалистов для стартапа,35514.46,179,21290.53
Создание интерфейсов взаимодействия с использованием микросервисной архитектуры,22224.53,59,3855.73
Разработка 2D/3D игр на Unity с применением облачных технологий,10031.58,414,3027.66
Создание интернет-магазина с нуля для внутреннего использования,62759.94,383,35684.05
Создание дизайна интерфейсов с учетом масштабируемости,1062.75,34,489.91
Разработка серверной части веб-приложения для образовательной платформы,10233.01,117,3584.2
Разработка серверной части веб-приложения для внутреннего использования,10081.32,338,4631.23
Оценка зрелости IT-инфраструктуры для малого и среднего бизнеса,6955.9,20,3730.17
Внедрение корпоративной аналитики для малого и среднего бизнеса,10563.41,76,3671.74
Создание интерактивных приложений на Unity для крупной корпорации,12553.8,412,3710.04
Разработка нативного Android приложения для логистической компании,25473.78,167,12995.53
Внедрение автоматизированного тестирования ПО для финансового сектора,19672.51,101,8159.77
Создание пользовательских интерфейсов для DApps для финансового сектора,114086.66,303,62839.58
Разработка нативного Android приложения с учетом масштабируемости,9427.23,183,3395.81
Внедрение комплексных систем безопасности с учетом масштабируемости,10915.7,150,4714.39
Разработка маркетплейса для крупной корпорации,40588.53,304,11683.38
Разработка мобильного приложения на Flutter для финансового сектора,52694.83,209,14683.71
Оказание технической поддержки первой линии с учетом масштабируемости,1322.22,18,279.15
Построение хранилищ больших данных в сфере E-commerce,96077.92,298,50340.17
Функциональное тестирование программных продуктов для образовательной платформы,5745.79,39,920.56
Проектирование и разработка SaaS решения для внутреннего использования,64953.08,418,22787.88
Построение BI-систем и аналитики для малого и среднего бизнеса,6865.79,60,3931.17
Аутсорсинг разработки для образовательной платформы,13215.29,129,1963.18
Проведение аналитики больших данных для малого и среднего бизнеса,36193.81,434,20773.14
Внедрение автоматизированного тестирования ПО для крупной корпорации,16777.76,52,6826.7
Backend разработка на основе анализа требований,6752.37,134,2452.68
Создание ML-решений для предсказаний для образовательной платформы,58484.03,353,24360.02
Fullstack разработка для медицинской организации,21056.05,151,10418.13
Предоставление выделенной команды разработчиков с расширенным функционалом,24129.19,53,7103.19
Управление IT-проектами по методологиям Agile/Waterfall для логистической компании,15643.61,103,9116.3
Управление облачной инфраструктурой в GCP для логистической компании,35674.81,57,10524.44
Построение DWH и витрин данных для конечных пользователей,16890.39,181,7919.67
Проектирование и разработка NoSQL баз данных для конечных пользователей,27496.93,80,7722.7
Создание iOS приложения под ключ в сфере E-commerce,35620.18,322,20394.61
Внедрение корпоративной аналитики на основе анализа требований,19002.78,71,5325.88
Разработка фронтенда и бэкенда для DApps для крупной корпорации,64091.06,348,36482.37
Оценка уровня защищенности систем для стартапа,18695.52,68,10031.59
Проектирование и разработка веб-платформы для внутреннего использования,49580.3,398,17820.76
Создание кроссплатформенного приложения (Flutter) на основе анализа требований,38817.97,331,14821.78
Разработка пользовательского опыта (UX) для крупной корпорации,1532.91,85,406.55
Внедрение SAP S/4HANA для крупной корпорации,125431.22,226,56121.53
Разработка аналитических моделей для Big Data с учетом масштабируемости,63594.45,452,15603.51
Проектирование взаимодействия пользователя с расширенным функционалом,13371.05,60,2447.23
Разработка пользовательского интерфейса (UI) в сфере E-commerce,9470.92,37,3146.97
Разработка прошивок и ПО для IoT-устройств с фокусом на безопасность,35941.55,141,7780.84
Оптимизация IT-процессов для малого и среднего бизнеса,3592.85,46,390.38
Разработка 2D/3D игр на Unity для финансового сектора,45556.71,206,16917.9
Проектирование взаимодействия пользователя для крупной корпорации,1590.82,89,179.42
Разработка пользовательского интерфейса (UI) для малого и среднего бизнеса,9160.14,33,4961.99
Проведение аналитики больших данных для конечных пользователей,59792.21,328,16958.53
Обслуживание серверов и сетевого оборудования на основе анализа требований,6756.73,10,2651.95
Оптимизация реляционных СУБД в сфере E-commerce,15422.9,155,7356.1
Настройка и оптимизация GCP для логистической компании,3767.82,82,656.02
Интеграция ERP с другими системами для стартапа,59915.37,532,25556.72
Разработка нативного Android приложения для внутреннего использования,18292.83,246,3520.46
Оптимизация IT-процессов с применением облачных технологий,7728.72,14,3414.68
Создание интерактивных приложений на Unity с применением облачных технологий,27612.37,422,5317.19
Настройка и адаптация корпоративной ERP в сфере E-commerce,52921.74,130,26647.83
Оказание технической поддержки второй и третьей линии с использованием микросервисной архитектуры,5499.16,45,1078.44
Разработка Flutter приложения с нуля для внутреннего использования,29161.91,89,16279.95
Экспертная IT-поддержка и решение инцидентов для финансового сектора,3969.97,41,1058.23
Разработка игр на Unreal Engine для образовательной платформы,33370.07,445,19695.89
Автоматизация регрессионного тестирования с фокусом на безопасность,6218.88,46,1597.12
Создание пользовательских интерфейсов для DApps с использованием микросервисной архитектуры,87143.6,429,38536.24
Создание решений для анализа изображений и видео для стартапа,82915.28,330,21315.41
Создание мультиарендной SaaS платформы с использованием микросервисной архитектуры,64406.79,336,7605.72
Построение DWH и витрин данных для крупной корпорации,33791.69,122,5925.48
Операционный IT-консалтинг на основе анализа требований,1365.09,21,360.83
Создание решений для анализа изображений и видео для стартапа,19232.45,485,11128.28
Предоставление команды IT-специалистов с использованием микросервисной архитектуры,19435.55,162,4469.11
Создание Android приложения под ключ для стартапа,51904.04,328,28384.97
Внедрение CI/CD для внутреннего использования,27529.61,92,4853.23
Миграция данных в SQL базы для крупной корпорации,5445.89,106,2785.78
Миграция в Azure для финансового сектора,26217.39,191,12133.07
Масштабирование NoSQL баз данных с применением облачных технологий,25734.98,87,2764.34
Разработка пайплайнов обработки данных для медицинской организации,26310.87,195,12737.5
Приемочное тестирование для логистической компании,9386.56,50,4351.24
Создание мультиарендной SaaS платформы в сфере E-commerce,49233.96,265,25022.18
Оказание технической поддержки второй и третьей линии для медицинской организации,6243.76,37,2520.85
Внедрение CI/CD для логистической компании,24767.3,148,11187.45
Разработка серверной части для IoT-решений для логистической компании,41631.35,325,22779.68
Анализ и интерпретация данных для принятия решений для малого и среднего бизнеса,24045.36,138,8164.29
Внедрение алгоритмов распознавания образов для логистической компании,48850.65,292,23403.85
Внедрение CRM-системы с использованием микросервисной архитектуры,46105.99,248,5541.83
Разработка пользовательского опыта (UX) для образовательной платформы,14149.57,40,1646.05
Настройка ETL-процессов для интеграции данных для стартапа,19910.48,169,9717.07
Проектирование и разработка SQL баз данных для финансового сектора,8451.7,140,2911.49
Проведение ручного тестирования ПО с использованием микросервисной архитектуры,7044.87,12,824.17
Внедрение BPM-систем для стартапа,13478.03,195,4033.27
Оптимизация рабочих потоков для крупной корпорации,29479.98,227,6269.52
Настройка и адаптация корпоративной ERP с фокусом на безопасность,148220.56,184,64660.12
Оптимизация рабочих потоков в сфере E-commerce,14814.04,114,6855.76
Разработка пользовательского интерфейса с учетом масштабируемости,23004.6,190,12110.0
Разработка тестовых сценариев и фреймворков для образовательной платформы,12951.72,78,4765.33
Базовая IT-поддержка пользователей для конечных пользователей,2460.06,28,281.91
Создание ML-решений для предсказаний в сфере E-commerce,52687.1,232,10748.1
Архитектура облачных решений на Azure с учетом масштабируемости,31463.15,120,4630.25
Настройка и оптимизация Azure с фокусом на безопасность,5664.51,116,3201.98
Разработка масштабируемой E-commerce платформы для финансового сектора,20253.44,475,3306.26
Консультации по цифровой трансформации с применением облачных технологий,14947.97,35,7195.69
Создание кроссплатформенного приложения (Flutter) в сфере E-commerce,53401.65,316,22530.78
Миграция в GCP с учетом масштабируемости,12146.03,69,2782.95
Проектирование и разработка NoSQL баз данных в сфере E-commerce,31904.96,69,18994.58
Fullstack разработка с расширенным функционалом,14064.42,199,5749.98
Экспертная IT-поддержка и решение инцидентов для стартапа,3058.14,43,1154.85
Аутсорсинг функций IT-менеджмента с применением облачных технологий,3526.92,64,1109.15
Разработка серверной части для IoT-решений с использованием микросервисной архитектуры,54209.74,352,22417.65
Операционный IT-консалтинг с фокусом на безопасность,6836.82,54,2647.33
Внедрение корпоративной аналитики для крупной корпорации,17104.11,92,3842.23
Создание бэкенда для крупной корпорации,39223.82,308,14496.61
Внедрение 1C:ERP для финансового сектора,136254.44,533,72565.17
Разработка нативного iOS приложения для конечных пользователей,13491.87,139,7825.41
Внедрение Salesforce для крупной корпорации,42177.36,213,5546.09
Разработка прошивок и ПО для IoT-устройств для внутреннего использования,45720.18,155,18484.39
Извлечение ценной информации из Big Data в сфере E-commerce,76047.45,127,19592.91
Разработка нативного iOS приложения для крупной корпорации,48573.55,93,20133.36
Проектирование и разработка NoSQL баз данных в сфере E-commerce,4411.75,178,563.55
Настройка и оптимизация Azure в сфере E-commerce,38202.22,166,6326.88
Проектирование и реализация RESTful/GraphQL API с учетом масштабируемости,21496.95,86,9358.45
Операционный IT-консалтинг для логистической компании,4997.68,30,1046.2
Проектирование и разработка SQL баз данных с фокусом на безопасность,14028.0,88,5104.64
Создание мультиарендной SaaS платформы для внутреннего использования,32207.81,216,14163.67
Проектирование взаимодействия пользователя для финансового сектора,14832.72,42,4707.99
Разработка Flutter приложения с нуля для внутреннего использования,64702.81,267,38546.35
Построение прогнозных моделей с учетом масштабируемости,31046.28,483,17825.84
Миграция в Azure для финансового сектора,12698.15,58,6294.48
Разработка инфраструктуры для Big Data на основе анализа требований,46871.61,254,21234.13
Разработка маркетплейса для образовательной платформы,19262.66,254,7625.77
Создание пользовательских интерфейсов для DApps для малого и среднего бизнеса,68379.97,421,15186.13
Создание ML-решений для предсказаний в сфере E-commerce,15424.56,72,5301.12
Разработка фронтенда и бэкенда для DApps в сфере E-commerce,65543.47,454,23851.0
Разработка масштабируемой E-commerce платформы с расширенным функционалом,56576.83,144,16030.91
Внедрение BPM-систем с использованием микросервисной архитектуры,9283.12,81,5358.6
Тестирование на проникновение для логистической компании,20127.12,141,8128.03
Интеграция ERP с другими системами для малого и среднего бизнеса,46768.89,240,19544.35
Проведение пенетрационного тестирования (пентеста) для медицинской организации,16119.52,171,7595.36
Разработка серверной части для IoT-решений для внутреннего использования,44346.55,215,6588.95
Разработка серверной части веб-приложения для крупной корпорации,36896.13,45,16900.26
Автоматизация DevOps процессов для образовательной платформы,26282.06,169,5381.82
Разработка Firmware для микроконтроллеров для малого и среднего бизнеса,45874.87,340,19981.05
Разработка фронтенда и бэкенда для DApps для крупной корпорации,75439.07,92,39781.47
Обслуживание серверов и сетевого оборудования для внутреннего использования,5660.08,39,1316.93
Разработка игр на Unreal Engine для медицинской организации,21216.98,517,7991.78
Разработка игр на Unreal Engine с использованием микросервисной архитектуры,39268.93,199,9923.86
Аутсорсинг функций IT-менеджмента для финансового сектора,3773.02,165,1775.98
Разработка смарт-контрактов на Solidity с использованием микросервисной архитектуры,13828.49,68,7120.72
Разработка мобильного приложения на React Native для внутреннего использования,46524.8,202,15337.67
Анализ уязвимостей веб-приложений для стартапа,15814.89,108,7478.57
Внедрение корпоративной аналитики для финансового сектора,14031.68,56,6284.2
Разработка B2B/B2C E-commerce решения в сфере E-commerce,16755.43,408,8962.69
Внедрение корпоративной аналитики для крупной корпорации,3942.45,32,2339.08
Проведение пенетрационного тестирования (пентеста) для финансового сектора,33599.71,42,5980.14
Разработка маркетплейса с применением облачных технологий,48659.95,274,24273.73
Создание кроссплатформенного приложения (React Native) с расширенным функционалом,29111.51,330,15845.01
Анализ и интерпретация данных для принятия решений для финансового сектора,24631.9,52,10475.85
Масштабирование NoSQL баз данных с применением облачных технологий,20813.0,54,5698.48
Разработка решений на основе обработки естественного языка (NLP) с расширенным функционалом,66491.59,83,33822.3
Создание облачной платформы для IoT для финансового сектора,12964.29,248,4324.33
Создание Android приложения под ключ для малого и среднего бизнеса,12114.44,133,4073.6
Предоставление выделенной команды разработчиков на основе анализа требований,49487.8,178,20460.08
Разработка игр на Unreal Engine на основе анализа требований,75924.05,278,14688.9
Разработка аналитических моделей для Big Data для малого и среднего бизнеса,67890.42,325,8861.13
Настройка межсетевых экранов и систем обнаружения вторжений для внутреннего использования,25988.88,161,5368.34
Базовая IT-поддержка пользователей для стартапа,2419.64,18,868.37
Разработка высококачественной графики на Unreal Engine для малого и среднего бизнеса,40224.83,109,10808.09
Оптимизация IT-процессов для конечных пользователей,4153.29,45,1404.79
Обслуживание серверов и сетевого оборудования с применением облачных технологий,2291.77,21,628.74
Разработка и аудит смарт-контрактов для образовательной платформы,59731.55,130,7068.52
Автоматизация бизнес-процессов с применением облачных технологий,40958.36,189,6623.39
Создание iOS приложения под ключ на основе анализа требований,52119.08,118,27214.51
Разработка дашбордов и отчетов для конечных пользователей,16840.51,36,8093.5
Развертывание решений по киберзащите на основе анализа требований,17217.85,175,9274.47
Развертывание решений по киберзащите для финансового сектора,7028.0,110,1571.18
Создание конвейеров обработки Big Data для конечных пользователей,44402.07,111,12271.78
Настройка межсетевых экранов и систем обнаружения вторжений для медицинской организации,18897.56,145,9272.55
Проектирование и разработка SaaS решения для внутреннего использования,95605.06,161,20205.48
Создание кроссплатформенного приложения (React Native) для крупной корпорации,35234.59,359,13705.19
